id,comment,A_task_original,A_contr_original,B_task_original,B_contr_original,A_task_relabel,A_contr_relabel,B_task_relabel,B_contr_relabel,picked,final_task,final_contribution
1991,"//for transparency, this method was written by claude.ai, based off of my old code which wasn't as good",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Generic Mention and Indeterminate Actions,B,Code Implementation,Generic Mention and Indeterminate Actions
1979,// Animation code was written by AI,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Generic Mention and Indeterminate Actions,B,Code Implementation,Generic Mention and Indeterminate Actions
557,// ChatGPT created this eventListener.,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation,A,Generic Mention and Indeterminate Actions,Implementation
1449,"Generated by ChatGPT 4o - Close hamburger dropdown when clicking outside
d",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation,A,Generic Mention and Indeterminate Actions,Implementation
4768,"ACCESS_LOG_PATTERN = r'^(\w+) - - \[(.*?)\] ""(.*?)"" (\d+) (\d+) ""(.*?)"" ""(.*?)"" (\d+)$' # suggested by chatGPT",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Knowledge and Concept Support,B,Code Implementation,Knowledge and Concept Support
2245,"// Sentences generated by ChatGPT-3.5, sorry but I am not a creative writer.",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
2783,"# Generated by GPT 4o, refined by Leonard Haddad, 2024.",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
5096,"# This bullshit is partially written by AI, don't judge me, i don't want to remember how PIL and all it's quirks work",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Generic Mention and Indeterminate Actions,B,Code Implementation,Generic Mention and Indeterminate Actions
1230,//make more gpt generated questions if user has index reaches end of,Code Generation & Implementation,Implementation,Unspecified,Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation,A,Generic Mention and Indeterminate Actions,Implementation
3706,# below code for chunk_text written with ai ofc,Code Generation & Implementation,Implementation,Unspecified,Implementation,Code Implementation,Implementation,Code Implementation,Generic Mention and Indeterminate Actions,B,Code Implementation,Generic Mention and Indeterminate Actions
1030,/* functions created using chatGPT */,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation,A,Generic Mention and Indeterminate Actions,Implementation
2040,// Use AI generated image for the third segment and every third segment after that,Code Generation & Implementation,Implementation,Unspecified,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
1659,/* AI Generated Badge */,Code Generation & Implementation,Implementation,Code Generation & Implementation,Generic Comment,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
4553,"# these are generated from GPT-3.5-turbo, from questions in the NQ dev set. Note that these questions were excluded from the experiment.",Code Generation & Implementation,Implementation,Code Generation & Implementation,Generic Comment,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
4077,"al display of AI generated responses as a function of user provided prompts
with respon",Code Generation & Implementation,Implementation,Code Generation & Implementation,Generic Comment,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
1822,"Created by gpt4.5 and it shows the oveerlay if no image is selected, but hides it if an image is selected",Code Generation & Implementation,Implementation,Unspecified,Generation (Auxiliary),Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
6102,# This file is generated with ChatGPT :),Code Generation & Implementation,Implementation,Unspecified,Generic Comment,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
6264,#         This list was mostly written by GPT-4o.,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Generic Mention and Indeterminate Actions,B,Code Implementation,Generic Mention and Indeterminate Actions
3851,# entirely written by GPT-4,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Generic Mention and Indeterminate Actions,B,Code Implementation,Generic Mention and Indeterminate Actions
2283,"//Following part generated by ChatGPT, asynchronous code is a bitch",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
794,"/* 
GENERAL LAYOUT OF THIS PAGE:
* Navbar
  * Link to login/register
* Hero
  * Big UCF logo or something
* Blurb of info
  * ChatGPT generated blurb of what the site is
*/",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation,A,Generic Mention and Indeterminate Actions,Implementation
4163,#display the response generated by LLM according to prompt in helper.py,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Artifact Generation,A,Code Implementation,Implementation
2777,# (docstring generated by ChatGPT),Code Comment Generation,Implementation,Code Comment Generation,Implementation,Documentation,Implementation,Documentation,Implementation,B,Documentation,Implementation
3475,# Todo: get LLM interfere and using Sparql generated from LLM to call request to sparql endpoint and then return Data (JSON format).,Unspecified,Generic Comment,Unspecified,Generic Comment,Generic Mention and Indeterminate Actions,Generic Mention and Indeterminate Actions,Code Enhancement,Implementation,B,Code Enhancement,Implementation
4496,# Generated by claude for testing,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Testing,Implementation,B,Testing,Implementation
5238,# DialoGPT generated the bot response,Unspecified,Generic Comment,Unspecified,Generic Comment,Generic Mention and Indeterminate Actions,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,B,Code Implementation,Implementation
2347,// topics were generated by ChatGPT,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
5803,# Generated by GPT-4o (rewrite a multi-process version of the above code).,Code Enhancement,Implementation,Code Enhancement,Implementation,Code Enhancement,Implementation,Code Implementation,Implementation,A,Code Enhancement,Implementation
3287,# chatgpt suggested i add !r at the end,Code Generation & Implementation,Implementation,Unspecified,Implementation,Code Implementation,Implementation,Code Implementation,Knowledge and Concept Support,B,Code Implementation,Knowledge and Concept Support
3450,# suggested by GitHub Copilot or https://stackoverflow.com/a/1855118,Code Generation & Implementation,Implementation,Unspecified,Implementation,Code Implementation,Implementation,Code Implementation,Knowledge and Concept Support,B,Code Implementation,Knowledge and Concept Support
3398,"# Otherwise, use the form suggested by LLM, or fall back to the user's initial form choice.",Unspecified,Knowledge Seeking / Idea,Unspecified,Knowledge Seeking / Idea,Generic Mention and Indeterminate Actions,Knowledge and Concept Support,Bug Identification & Fixing,Knowledge and Concept Support,B,Bug Identification & Fixing,Knowledge and Concept Support
3018,# NOTE: hard-code prompt (we copy the background description generated by LLM in step 2),Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Artifact Generation,A,Code Implementation,Implementation
5592,# Note: Code generated by ChatGPT. This code is mainly for debugging,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
1785,#this function was created by chatgpt,Code Generation & Implementation,Implementation,Unspecified,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
5419,"# AI created right lobes only, so create lungs and add lobes",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
5525,"# print(""🔍 Gemini generated this code:"")
#",Unspecified,Generic Comment,Unspecified,Generic Comment,Generic Mention and Indeterminate Actions,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,B,Code Implementation,Implementation
743,// Return the coordinates of the triangle arrangement according to index. This part is mostly generated by ChatGPT.,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation,A,Generic Mention and Indeterminate Actions,Implementation
3652,"# TODO gpt generated, not sure how this will interact with docker, but this is more or less just a placeholder until the model is trained",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
2587,# Wes -- Written by copilot and GPT over several iterations,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Generic Mention and Indeterminate Actions,B,Code Implementation,Generic Mention and Indeterminate Actions
2862,# The basis for this test of the 'divide' operation is generated by ChatGPT using the manually created conv2d.py as a template.,Test Generation,Implementation,Test Generation,Implementation,Testing,Implementation,Testing,Artifact Generation,A,Testing,Implementation
5454,"when making context, want it to appear as-if LLM generated, which starts with space after :",Unspecified,Generic Comment,Unspecified,Generic Comment,Generic Mention and Indeterminate Actions,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,B,Code Implementation,Implementation
5748,## New prompt without COT generated by gpt evaluation,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Artifact Generation,B,Code Implementation,Artifact Generation
1015,"/*
 * Created by aimozg on 27.07.2017.
 * Confidential until published on GitHub
 */",Unspecified,Generic Comment,Unspecified,Generic Comment,Generic Mention and Indeterminate Actions,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,B,Code Implementation,Implementation
2477,"/**
 * Intended to check alarms to see if they are ready to go off.
 * Created by Aidan on 2017-03-26.
 */",Unspecified,Generic Comment,Unspecified,Generic Comment,Generic Mention and Indeterminate Actions,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,B,Code Implementation,Implementation
1963,//TODO test this code written by AI.,Test Generation,Implementation,Test Generation,Implementation,Testing,Implementation,Testing,Generic Mention and Indeterminate Actions,A,Testing,Implementation
2084,"// If industry does not exist, create it withndefault values - will replace it with ai generated content later",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
5319,# AI GENERATED CODE BEWARE,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
1303,// Put the AI generated HTML into our output div.  Use `innerHTML` so it renders as HTML,Code Generation & Implementation,Implementation,Unspecified,Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation,A,Generic Mention and Indeterminate Actions,Implementation
4019,# TODO: test this Copilot generated code,Test Generation,Implementation,Test Generation,Generic Comment,Testing,Implementation,Testing,Implementation,B,Testing,Implementation
1397,"/**
   * Apply user's writing style to the base response
   * @param {string} baseResponse - Raw LLM generated response
   * @param {Object} styleProfile - User's style profile
   * @returns {Promise<string>} - Styled response
   */",Code Enhancement,Generic Comment,Code Enhancement,Generic Comment,Code Enhancement,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,B,Code Implementation,Implementation
3024,"# open-ended question generated by GPT-4, on AudioSet Eval audio/annotation",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
1667,// NOTE: This Angular part is complex and was generated with Claude 3.7 Sonnet,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
6251,#CODE WAS WRITTEN BY CHATGPT WITH SPECIFIC PROMPTS,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Generic Mention and Indeterminate Actions,B,Code Implementation,Generic Mention and Indeterminate Actions
341,"/* CODE GENERATED BY CHATGPT 4O, PLACEHOLDER JUST TO START WITH AUTHPROVIDER */",Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation,A,Generic Mention and Indeterminate Actions,Implementation
3666,# Written by ChatGPT 3.5 as a response to the query:,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Generic Mention and Indeterminate Actions,B,Code Implementation,Generic Mention and Indeterminate Actions
2114,"/**
 * AI GENERATED COMMENTS - (Mintlify)
 * 
 * The code below is defining a regular expression pattern called `commentsPattern` in JavaScript. This
pattern is used to match and extract comments in JavaScript code. It can match both single-line
comments starting with `//` and multi-line. The `gs` flags
at the end of the pattern indicate that it should match globally (across multiple lines) and treat
the input as a single string. */",Code Comment Generation,Implementation,Code Comment Generation,Implementation,Documentation,Implementation,Documentation,Knowledge and Concept Support,B,Documentation,Knowledge and Concept Support
220,// written by LLM provider: vertex-ai model: gemini-2.0-flash-exp,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Generic Mention and Indeterminate Actions,A,Code Implementation,Implementation
4615,# This honestly was generated with chatGPT by I kinda understand how it works,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Knowledge and Concept Support,B,Code Implementation,Knowledge and Concept Support
2947,# src: chatgpt generated,Code Generation & Implementation,Implementation,Unspecified,Generic Comment,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
3464,## modified from an example generated by Gemini - https://g.co/gemini/share/2c241a4d6736,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Artifact Generation,A,Code Implementation,Implementation
6055,# simple simulation generated by Claude,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
2580,Chatbot Dock (content created by AIChatUIManager),Unspecified,Generic Comment,Unspecified,Generic Comment,Generic Mention and Indeterminate Actions,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,B,Code Implementation,Implementation
5878,# Add AI generated summary and tags later,Code Generation & Implementation,Implementation,Unspecified,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
1,// Generated by gpt-4-0125-preview,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation,A,Generic Mention and Indeterminate Actions,Implementation
3036,#**below function is  generated by gpt**,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
2628,# **Notebook generated with AI assistance.**,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
314,// ChatGPT suggested using storage event listener to update the notes in real-time,Code Generation & Implementation,Implementation,Code Generation & Implementation,Knowledge Seeking / Idea,Code Implementation,Knowledge and Concept Support,Generic Mention and Indeterminate Actions,Knowledge and Concept Support,B,Generic Mention and Indeterminate Actions,Knowledge and Concept Support
4277,# FOLLOWING FUNCTION HAS BEEN GENERATED BY CHATGPT,Code Generation & Implementation,Implementation,Code Generation & Implementation,Implementation,Code Implementation,Implementation,Code Implementation,Implementation,B,Code Implementation,Implementation
3834,"# Created by Aidan Lane, 6 Feb 2013",Unspecified,Generic Comment,Unspecified,Generic Comment,Generic Mention and Indeterminate Actions,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,B,Code Implementation,Implementation
