comment,task_type_A,task_type_B,contr_type_A,contr_type_B,task_type_selected,contr_type_selected
"//for transparency, this method was written by claude.ai, based off of my old code which wasn't as good",Code Implementation,Code Implementation,Implementation,Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions
// Animation code was written by AI,Code Implementation,Code Implementation,Implementation,Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions
// ChatGPT created this eventListener.,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation
"Generated by ChatGPT 4o - Close hamburger dropdown when clicking outside
d",Generic Mention and Indeterminate Actions,Code Implementation,Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation
"ACCESS_LOG_PATTERN = r'^(\w+) - - \[(.*?)\] ""(.*?)"" (\d+) (\d+) ""(.*?)"" ""(.*?)"" (\d+)$' # suggested by chatGPT",Code Implementation,Code Implementation,Implementation,Knowledge and Concept Support,Code Implementation,Knowledge and Concept Support
"// Sentences generated by ChatGPT-3.5, sorry but I am not a creative writer.",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"# Generated by GPT 4o, refined by Leonard Haddad, 2024.",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"# This bullshit is partially written by AI, don't judge me, i don't want to remember how PIL and all it's quirks work",Code Implementation,Code Implementation,Implementation,Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions
//make more gpt generated questions if user has index reaches end of,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation
# below code for chunk_text written with ai ofc,Code Implementation,Code Implementation,Implementation,Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions
/* functions created using chatGPT */,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation
// Use AI generated image for the third segment and every third segment after that,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
/* AI Generated Badge */,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"# these are generated from GPT-3.5-turbo, from questions in the NQ dev set. Note that these questions were excluded from the experiment.",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"al display of AI generated responses as a function of user provided prompts
with respon",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"Created by gpt4.5 and it shows the oveerlay if no image is selected, but hides it if an image is selected",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
# This file is generated with ChatGPT :),Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
#         This list was mostly written by GPT-4o.,Code Implementation,Code Implementation,Implementation,Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions
# entirely written by GPT-4,Code Implementation,Code Implementation,Implementation,Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions
"//Following part generated by ChatGPT, asynchronous code is a bitch",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"/* 
GENERAL LAYOUT OF THIS PAGE:
* Navbar
  * Link to login/register
* Hero
  * Big UCF logo or something
* Blurb of info
  * ChatGPT generated blurb of what the site is
*/",Generic Mention and Indeterminate Actions,Code Implementation,Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation
#display the response generated by LLM according to prompt in helper.py,Code Implementation,Code Implementation,Implementation,Artifact Generation,Code Implementation,Implementation
# (docstring generated by ChatGPT),Documentation,Documentation,Implementation,Implementation,Documentation,Implementation
# Todo: get LLM interfere and using Sparql generated from LLM to call request to sparql endpoint and then return Data (JSON format).,Generic Mention and Indeterminate Actions,Code Enhancement,Generic Mention and Indeterminate Actions,Implementation,Code Enhancement,Implementation
# Generated by claude for testing,Code Implementation,Testing,Implementation,Implementation,Testing,Implementation
# DialoGPT generated the bot response,Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation
// topics were generated by ChatGPT,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
# Generated by GPT-4o (rewrite a multi-process version of the above code).,Code Enhancement,Code Implementation,Implementation,Implementation,Code Enhancement,Implementation
# chatgpt suggested i add !r at the end,Code Implementation,Code Implementation,Implementation,Knowledge and Concept Support,Code Implementation,Knowledge and Concept Support
# suggested by GitHub Copilot or https://stackoverflow.com/a/1855118,Code Implementation,Code Implementation,Implementation,Knowledge and Concept Support,Code Implementation,Knowledge and Concept Support
"# Otherwise, use the form suggested by LLM, or fall back to the user's initial form choice.",Generic Mention and Indeterminate Actions,Bug Identification & Fixing,Knowledge and Concept Support,Knowledge and Concept Support,Bug Identification & Fixing,Knowledge and Concept Support
# NOTE: hard-code prompt (we copy the background description generated by LLM in step 2),Code Implementation,Code Implementation,Implementation,Artifact Generation,Code Implementation,Implementation
# Note: Code generated by ChatGPT. This code is mainly for debugging,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
#this function was created by chatgpt,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"# AI created right lobes only, so create lungs and add lobes",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"# print(""🔍 Gemini generated this code:"")
#",Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation
// Return the coordinates of the triangle arrangement according to index. This part is mostly generated by ChatGPT.,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation
"# TODO gpt generated, not sure how this will interact with docker, but this is more or less just a placeholder until the model is trained",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
# Wes -- Written by copilot and GPT over several iterations,Code Implementation,Code Implementation,Implementation,Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions
# The basis for this test of the 'divide' operation is generated by ChatGPT using the manually created conv2d.py as a template.,Testing,Testing,Implementation,Artifact Generation,Testing,Implementation
"when making context, want it to appear as-if LLM generated, which starts with space after :",Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation
## New prompt without COT generated by gpt evaluation,Code Implementation,Code Implementation,Implementation,Artifact Generation,Code Implementation,Artifact Generation
"/*
 * Created by aimozg on 27.07.2017.
 * Confidential until published on GitHub
 */",Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation
"/**
 * Intended to check alarms to see if they are ready to go off.
 * Created by Aidan on 2017-03-26.
 */",Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation
//TODO test this code written by AI.,Testing,Testing,Implementation,Generic Mention and Indeterminate Actions,Testing,Implementation
"// If industry does not exist, create it withndefault values - will replace it with ai generated content later",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
# AI GENERATED CODE BEWARE,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
// Put the AI generated HTML into our output div.  Use `innerHTML` so it renders as HTML,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation
# TODO: test this Copilot generated code,Testing,Testing,Implementation,Implementation,Testing,Implementation
"/**
   * Apply user's writing style to the base response
   * @param {string} baseResponse - Raw LLM generated response
   * @param {Object} styleProfile - User's style profile
   * @returns {Promise<string>} - Styled response
   */",Code Enhancement,Code Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation
"# open-ended question generated by GPT-4, on AudioSet Eval audio/annotation",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
// NOTE: This Angular part is complex and was generated with Claude 3.7 Sonnet,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
#CODE WAS WRITTEN BY CHATGPT WITH SPECIFIC PROMPTS,Code Implementation,Code Implementation,Implementation,Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions
"/* CODE GENERATED BY CHATGPT 4O, PLACEHOLDER JUST TO START WITH AUTHPROVIDER */",Generic Mention and Indeterminate Actions,Code Implementation,Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation
# Written by ChatGPT 3.5 as a response to the query:,Code Implementation,Code Implementation,Implementation,Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions
"/**
 * AI GENERATED COMMENTS - (Mintlify)
 * 
 * The code below is defining a regular expression pattern called `commentsPattern` in JavaScript. This
pattern is used to match and extract comments in JavaScript code. It can match both single-line
comments starting with `//` and multi-line. The `gs` flags
at the end of the pattern indicate that it should match globally (across multiple lines) and treat
the input as a single string. */",Documentation,Documentation,Implementation,Knowledge and Concept Support,Documentation,Knowledge and Concept Support
// written by LLM provider: vertex-ai model: gemini-2.0-flash-exp,Code Implementation,Code Implementation,Implementation,Generic Mention and Indeterminate Actions,Code Implementation,Implementation
# This honestly was generated with chatGPT by I kinda understand how it works,Code Implementation,Code Implementation,Implementation,Knowledge and Concept Support,Code Implementation,Knowledge and Concept Support
# src: chatgpt generated,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
## modified from an example generated by Gemini - https://g.co/gemini/share/2c241a4d6736,Code Implementation,Code Implementation,Implementation,Artifact Generation,Code Implementation,Implementation
# simple simulation generated by Claude,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
Chatbot Dock (content created by AIChatUIManager),Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation
# Add AI generated summary and tags later,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
// Generated by gpt-4-0125-preview,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation
#**below function is  generated by gpt**,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
# **Notebook generated with AI assistance.**,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
// ChatGPT suggested using storage event listener to update the notes in real-time,Code Implementation,Generic Mention and Indeterminate Actions,Knowledge and Concept Support,Knowledge and Concept Support,Generic Mention and Indeterminate Actions,Knowledge and Concept Support
# FOLLOWING FUNCTION HAS BEEN GENERATED BY CHATGPT,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"# Created by Aidan Lane, 6 Feb 2013",Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions,Implementation,Code Implementation,Implementation
// random reactions generated by chatGPT,Generic Mention and Indeterminate Actions,Code Implementation,Implementation,Implementation,Generic Mention and Indeterminate Actions,Implementation
"# False if generated by LLM, True if generated by the user",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
// TODO:  Test more cases here.  This was generated by ChatGPT.,Testing,Testing,Implementation,Implementation,Testing,Implementation
// Append the new form to the formset - function suggested by ChatGPT,Code Implementation,Generic Mention and Indeterminate Actions,Knowledge and Concept Support,Knowledge and Concept Support,Generic Mention and Indeterminate Actions,Knowledge and Concept Support
# Download and save AI generated face,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
ODO: add image generated by LLM,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"created by chatgpt(using honorifics).
        request_tale_translatio",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"# if you want to use the template generated by gpt4, you have to use kaggle.",Code Implementation,Code Implementation,Implementation,Artifact Generation,Code Implementation,Implementation
// Get the AI generated audio from the server.,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"Prompt to Improve the Code:

I asked the AI: ""How can I improve user interaction within modals, enhance activity tracking, and provide better feedback to users?""

The AI suggested enhancing the activity tracker with more detailed inputs, adding real-time updates to the dashboard, and improving affirmation selection with more choices and clearer feedback.
*/

/*",Code Enhancement,Code Implementation,Implementation,Artifact Generation,Code Enhancement,Implementation
# ChatGPT generated Dict of Map-Model File-Locations from Hack64,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"/*
    SECURITY WARNING:
    ModesController must be isolated. Do not store references to external objects like `agent`.
    This object is accessible by LLM generated code, so any stored references are also accessible.
    This can be used to expose sensitive information by malicious human prompters.
    */",Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions,Knowledge and Concept Support,Code Implementation,Knowledge and Concept Support
"# This function was generated with ChatGPT asking: how can I create a function that For each analytic, asks",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"#             {""role"": ""system"", ""content"": ""You are an expert in API security and keep in mind that the response should not look like it is generated by llm so plz be professional and response does not contains content like **xyz...**.""},",Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
// This code was created by GPT-4,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
// NOTE: INITIAL CODE GENERATED BY AI AND REFACTORED BY ME,Code Enhancement,Code Implementation,Implementation,Implementation,Code Enhancement,Implementation
"#this idea and code was generated by chatGPT, modified by me to actually work, just a some small details missed",Code Implementation,Code Implementation,Implementation,Knowledge and Concept Support,Code Implementation,Knowledge and Concept Support
/ Validate AI generated option,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
"// Reference: chatGPT generated regex => ""write a regex that matches when contains only letters or numbers,",Code Implementation,Code Implementation,Implementation,Knowledge and Concept Support,Code Implementation,Implementation
//person resource metadata generated by AirliftLabs Person dictation ...,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
// the outer one created by bard to handle window cleaning,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
#Created by Claude: https://claude.ai/chat/3075c54c-ddfb-4bb5-91d5-f133ec890acb,Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
#Suggested by AI,Code Implementation,Code Implementation,Implementation,Knowledge and Concept Support,Code Implementation,Knowledge and Concept Support
# GitHub Copilot assisted with GitHub operations and color formats of output and prompts,Code Implementation,Code Implementation,Generic Mention and Indeterminate Actions,Generic Mention and Indeterminate Actions,Code Implementation,Generic Mention and Indeterminate Actions
//  ((This was generated by CoPilot. Study these two functions closely.)),Code Implementation,Code Implementation,Implementation,Implementation,Code Implementation,Implementation
